Order_ID,Customer_Age,Food_Category,Order_Amount,Location,Order_Time,Delivery_Time_Min,Payment_Method,Restaurant,Discount,Rating
100001,31,Fast Food,366,Madurai,Dinner,38,UPI,Dominos,20,5
100002,56,Fast Food,406,Chennai,Evening,41,UPI,Saravana Bhavan,100,4
100003,42,Biryani,356,Coimbatore,Late Night,42,Cash on Delivery,Burger King,20,4
100004,37,South Indian,343,Bangalore,Lunch,45,UPI,KFC,30,4
100005,25,South Indian,219,Coimbatore,Dinner,31,UPI,Hotel Aryaas,0,5
100006,25,Pizza,466,Madurai,Dinner,33,Credit Card,Hotel Aryaas,50,4
100007,21,Biryani,410,Salem,Dinner,42,UPI,A2B,50,4
100008,49,Chinese,290,Chennai,Evening,34,Cash on Delivery,Local Kitchen,20,4
100009,37,Pizza,523,Madurai,Dinner,28,UPI,Chinese Wok,50,5
100010,41,Chinese,739,Chennai,Lunch,26,Debit Card,Chinese Wok,0,5
100011,19,Pizza,326,Coimbatore,Evening,41,Debit Card,Anjappar,50,4
100012,58,Chinese,330,Chennai,Dinner,31,Cash on Delivery,Hotel Aryaas,30,4
100013,46,North Indian,682,Chennai,Late Night,29,UPI,Chinese Wok,20,5
100014,27,Fast Food,423,Coimbatore,Dinner,39,UPI,A2B,50,5
100015,26,South Indian,240,Coimbatore,Evening,27,Credit Card,Local Kitchen,30,5
100016,26,Biryani,827,Trichy,Dinner,28,Debit Card,Saravana Bhavan,30,4
100017,29,Biryani,192,Madurai,Breakfast,34,UPI,Local Kitchen,0,4
100018,35,Fast Food,229,Salem,Lunch,29,UPI,Chinese Wok,75,4
100019,32,Biryani,297,Bangalore,Dinner,48,UPI,Chinese Wok,20,3
100020,29,Fast Food,573,Chennai,Lunch,39,UPI,Anjappar,20,4
100021,38,Biryani,591,Coimbatore,Late Night,35,Debit Card,A2B,0,4
100022,25,Biryani,275,Coimbatore,Evening,48,Credit Card,KFC,100,3
100023,29,North Indian,334,Coimbatore,Evening,35,Credit Card,Saravana Bhavan,30,4
100024,31,Biryani,498,Bangalore,Dinner,45,UPI,Hotel Aryaas,30,3
100025,33,Chinese,735,Bangalore,Dinner,24,Wallet,A2B,100,5
100026,44,Biryani,188,Coimbatore,Evening,28,Cash on Delivery,Anjappar,20,4
100027,26,North Indian,233,Chennai,Lunch,24,UPI,SS Hyderabad Biryani,0,4
100028,34,North Indian,371,Chennai,Dinner,39,UPI,Hotel Aryaas,0,5
100029,37,Chinese,260,Chennai,Lunch,19,Debit Card,Local Kitchen,50,5
100030,20,Chinese,667,Chennai,Lunch,37,Credit Card,Saravana Bhavan,0,4
100031,37,Biryani,434,Madurai,Dinner,29,Debit Card,Dominos,0,4
100032,25,North Indian,644,Chennai,Breakfast,35,Debit Card,Burger King,30,5
100033,21,Pizza,500,Madurai,Late Night,34,UPI,Hotel Aryaas,30,5
100034,56,North Indian,565,Coimbatore,Dinner,40,UPI,Hotel Aryaas,30,4
100035,58,Chinese,349,Chennai,Late Night,56,UPI,Hotel Aryaas,0,4
100036,45,Fast Food,222,Trichy,Lunch,54,Wallet,Chinese Wok,0,4
100037,29,North Indian,415,Bangalore,Late Night,42,Debit Card,KFC,50,4
100038,23,Fast Food,614,Chennai,Lunch,31,Cash on Delivery,A2B,30,5
100039,40,South Indian,818,Trichy,Breakfast,36,UPI,Local Kitchen,20,4
100040,32,Biryani,405,Chennai,Breakfast,30,Credit Card,SS Hyderabad Biryani,0,4
100041,24,North Indian,574,Chennai,Evening,27,Debit Card,Anjappar,75,4
100042,34,Biryani,347,Madurai,Breakfast,15,UPI,SS Hyderabad Biryani,0,4
100043,19,Fast Food,383,Madurai,Evening,32,Debit Card,Local Kitchen,30,4
100044,53,South Indian,431,Coimbatore,Lunch,37,Credit Card,A2B,30,4
100045,28,Pizza,759,Chennai,Lunch,40,Wallet,Hotel Aryaas,75,4
100046,39,South Indian,566,Trichy,Dinner,35,UPI,Burger King,0,4
100047,29,Fast Food,536,Coimbatore,Lunch,27,Credit Card,Anjappar,20,5
100048,35,Biryani,743,Chennai,Dinner,29,Wallet,Anjappar,100,5
100049,35,Chinese,333,Bangalore,Dinner,43,Debit Card,Local Kitchen,30,5
